Neighborhood,Month,Day,Shift,Category 1,Category 2,Category 3,Category 4
Adair Park,1,0,Morning,0,0,1,1
Adair Park,1,0,Day,0,0,3,4
Adair Park,1,0,Evening,0,1,2,4
Adair Park,1,1,Morning,0,0,2,1
Adair Park,1,1,Day,0,4,3,2
Adair Park,1,1,Evening,0,1,3,3
Adair Park,1,2,Morning,0,0,0,1
Adair Park,1,2,Day,0,1,1,2
Adair Park,1,2,Evening,0,0,4,3
Adair Park,1,3,Morning,0,2,0,0
Adair Park,1,3,Day,0,0,3,3
Adair Park,1,3,Evening,0,1,2,5
Adair Park,1,4,Morning,0,0,2,1
Adair Park,1,4,Day,0,1,5,3
Adair Park,1,4,Evening,0,3,4,3
Adair Park,1,5,Morning,0,2,0,2
Adair Park,1,5,Day,0,1,5,1
Adair Park,1,5,Evening,0,4,3,4
Adair Park,1,6,Morning,0,1,3,1
Adair Park,1,6,Day,0,0,4,1
Adair Park,1,6,Evening,0,3,4,2
Adair Park,2,0,Morning,0,0,1,1
Adair Park,2,0,Day,0,1,3,4
Adair Park,2,0,Evening,0,6,5,2
Adair Park,2,1,Morning,0,0,2,2
Adair Park,2,1,Day,0,2,1,2
Adair Park,2,1,Evening,0,4,0,4
Adair Park,2,2,Morning,0,0,2,1
Adair Park,2,2,Day,0,0,4,2
Adair Park,2,2,Evening,0,1,2,5
Adair Park,2,3,Morning,0,0,0,2
Adair Park,2,3,Day,0,2,3,2
Adair Park,2,3,Evening,0,1,2,4
Adair Park,2,4,Morning,0,0,1,2
Adair Park,2,4,Day,0,2,5,1
Adair Park,2,4,Evening,0,1,2,5
Adair Park,2,5,Morning,0,0,0,0
Adair Park,2,5,Day,0,2,1,2
Adair Park,2,5,Evening,0,1,2,4
Adair Park,2,6,Morning,0,1,1,2
Adair Park,2,6,Day,0,2,2,2
Adair Park,2,6,Evening,0,1,2,1
Adair Park,3,0,Morning,0,0,1,1
Adair Park,3,0,Day,0,2,3,4
Adair Park,3,0,Evening,0,4,3,5
Adair Park,3,1,Morning,0,0,1,1
Adair Park,3,1,Day,0,0,4,2
Adair Park,3,1,Evening,0,1,4,3
Adair Park,3,2,Morning,0,1,1,1
Adair Park,3,2,Day,0,0,3,1
Adair Park,3,2,Evening,1,3,4,3
Adair Park,3,3,Morning,0,0,1,2
Adair Park,3,3,Day,0,2,5,4
Adair Park,3,3,Evening,0,3,0,5
Adair Park,3,4,Morning,0,1,2,0
Adair Park,3,4,Day,0,0,1,4
Adair Park,3,4,Evening,0,0,2,4
Adair Park,3,5,Morning,0,0,1,4
Adair Park,3,5,Day,0,2,2,1
Adair Park,3,5,Evening,0,1,2,5
Adair Park,3,6,Morning,0,1,0,2
Adair Park,3,6,Day,0,1,3,2
Adair Park,3,6,Evening,0,1,1,4
Adair Park,4,0,Morning,1,0,0,1
Adair Park,4,0,Day,0,2,2,5
Adair Park,4,0,Evening,0,6,4,5
Adair Park,4,1,Morning,0,1,0,5
Adair Park,4,1,Day,0,0,4,2
Adair Park,4,1,Evening,0,3,5,5
Adair Park,4,2,Morning,0,0,1,3
Adair Park,4,2,Day,0,2,2,6
Adair Park,4,2,Evening,2,4,3,5
Adair Park,4,3,Morning,0,2,0,1
Adair Park,4,3,Day,0,0,3,2
Adair Park,4,3,Evening,0,3,1,1
Adair Park,4,4,Morning,0,2,1,1
Adair Park,4,4,Day,0,0,6,1
Adair Park,4,4,Evening,0,3,5,0
Adair Park,4,5,Morning,0,4,2,3
Adair Park,4,5,Day,0,0,1,1
Adair Park,4,5,Evening,1,2,4,0
Adair Park,4,6,Morning,0,0,4,2
Adair Park,4,6,Day,0,2,6,1
Adair Park,4,6,Evening,0,2,2,4
Adair Park,5,0,Morning,0,0,1,3
Adair Park,5,0,Day,0,2,4,4
Adair Park,5,0,Evening,0,1,3,0
Adair Park,5,1,Morning,0,1,3,2
Adair Park,5,1,Day,0,2,5,5
Adair Park,5,1,Evening,0,6,4,5
Adair Park,5,2,Morning,0,3,3,1
Adair Park,5,2,Day,0,3,1,3
Adair Park,5,2,Evening,0,0,0,6
Adair Park,5,3,Morning,0,0,1,1
Adair Park,5,3,Day,0,3,4,5
Adair Park,5,3,Evening,0,2,4,4
Adair Park,5,4,Morning,0,1,1,0
Adair Park,5,4,Day,0,0,3,7
Adair Park,5,4,Evening,0,2,5,4
Adair Park,5,5,Morning,0,0,2,4
Adair Park,5,5,Day,0,2,4,5
Adair Park,5,5,Evening,0,1,6,8
Adair Park,5,6,Morning,0,1,5,2
Adair Park,5,6,Day,0,1,0,4
Adair Park,5,6,Evening,0,4,5,4
Adair Park,6,0,Morning,0,1,4,1
Adair Park,6,0,Day,0,1,1,3
Adair Park,6,0,Evening,0,2,5,2
Adair Park,6,1,Morning,0,2,3,2
Adair Park,6,1,Day,0,2,6,5
Adair Park,6,1,Evening,0,3,7,6
Adair Park,6,2,Morning,0,3,2,1
Adair Park,6,2,Day,0,1,1,6
Adair Park,6,2,Evening,0,3,2,2
Adair Park,6,3,Morning,0,1,2,2
Adair Park,6,3,Day,0,4,1,0
Adair Park,6,3,Evening,0,0,4,6
Adair Park,6,4,Morning,1,1,1,2
Adair Park,6,4,Day,0,0,1,5
Adair Park,6,4,Evening,0,3,5,8
Adair Park,6,5,Morning,0,2,0,0
Adair Park,6,5,Day,0,1,4,3
Adair Park,6,5,Evening,1,0,4,2
Adair Park,6,6,Morning,0,0,1,1
Adair Park,6,6,Day,0,0,7,3
Adair Park,6,6,Evening,0,3,5,2
