Neighborhood,Date,Year,Month,Day of Month,Day of Week,Category 1,Category 2,Category 3,Category 4
Sylvan Hills,1/1/18,18,1,1,0,0,0,1,2
Sylvan Hills,1/2/18,18,1,2,1,0,0,1,1
Sylvan Hills,1/3/18,18,1,3,2,0,0,0,2
Sylvan Hills,1/4/18,18,1,4,3,0,0,0,1
Sylvan Hills,1/5/18,18,1,5,4,0,0,0,2
Sylvan Hills,1/6/18,18,1,6,5,0,0,0,1
Sylvan Hills,1/7/18,18,1,7,6,0,0,1,0
Sylvan Hills,1/8/18,18,1,8,0,0,0,2,0
Sylvan Hills,1/9/18,18,1,9,1,0,1,0,0
Sylvan Hills,1/10/18,18,1,10,2,0,1,0,0
Sylvan Hills,1/11/18,18,1,11,3,0,0,0,0
Sylvan Hills,1/12/18,18,1,12,4,0,0,0,0
Sylvan Hills,1/13/18,18,1,13,5,0,0,0,0
Sylvan Hills,1/14/18,18,1,14,6,0,1,0,2
Sylvan Hills,1/15/18,18,1,15,0,0,0,0,0
Sylvan Hills,1/16/18,18,1,16,1,0,0,0,1
Sylvan Hills,1/17/18,18,1,17,2,0,0,0,0
Sylvan Hills,1/18/18,18,1,18,3,0,1,0,0
Sylvan Hills,1/19/18,18,1,19,4,0,0,0,0
Sylvan Hills,1/20/18,18,1,20,5,0,0,0,1
Sylvan Hills,1/21/18,18,1,21,6,0,0,2,0
Sylvan Hills,1/22/18,18,1,22,0,0,0,0,0
Sylvan Hills,1/23/18,18,1,23,1,0,1,0,1
Sylvan Hills,1/24/18,18,1,24,2,0,0,1,1
Sylvan Hills,1/25/18,18,1,25,3,0,0,0,1
Sylvan Hills,1/26/18,18,1,26,4,0,0,0,1
Sylvan Hills,1/27/18,18,1,27,5,0,0,0,1
Sylvan Hills,1/28/18,18,1,28,6,0,0,0,2
Sylvan Hills,1/29/18,18,1,29,0,0,1,0,0
Sylvan Hills,1/30/18,18,1,30,1,0,0,0,0
Sylvan Hills,1/31/18,18,1,31,2,0,0,0,0
Sylvan Hills,2/1/18,18,2,1,3,0,0,0,0
Sylvan Hills,2/2/18,18,2,2,4,0,0,0,0
Sylvan Hills,2/3/18,18,2,3,5,0,0,0,1
Sylvan Hills,2/4/18,18,2,4,6,0,0,2,1
Sylvan Hills,2/5/18,18,2,5,0,0,0,0,0
Sylvan Hills,2/6/18,18,2,6,1,0,0,0,0
Sylvan Hills,2/7/18,18,2,7,2,0,0,0,1
Sylvan Hills,2/8/18,18,2,8,3,0,1,2,0
Sylvan Hills,2/9/18,18,2,9,4,0,2,0,1
Sylvan Hills,2/10/18,18,2,10,5,0,0,0,0
Sylvan Hills,2/11/18,18,2,11,6,0,0,0,1
Sylvan Hills,2/12/18,18,2,12,0,0,0,0,0
Sylvan Hills,2/13/18,18,2,13,1,0,0,1,1
Sylvan Hills,2/14/18,18,2,14,2,0,0,0,0
Sylvan Hills,2/15/18,18,2,15,3,0,0,0,0
Sylvan Hills,2/16/18,18,2,16,4,0,0,1,0
Sylvan Hills,2/17/18,18,2,17,5,0,0,0,0
Sylvan Hills,2/18/18,18,2,18,6,0,0,1,1
Sylvan Hills,2/19/18,18,2,19,0,0,1,0,1
Sylvan Hills,2/20/18,18,2,20,1,0,0,0,0
Sylvan Hills,2/21/18,18,2,21,2,0,1,0,1
Sylvan Hills,2/22/18,18,2,22,3,0,0,0,0
Sylvan Hills,2/23/18,18,2,23,4,0,0,1,1
Sylvan Hills,2/24/18,18,2,24,5,0,0,2,0
Sylvan Hills,2/25/18,18,2,25,6,0,1,0,2
Sylvan Hills,2/26/18,18,2,26,0,0,1,2,0
Sylvan Hills,2/27/18,18,2,27,1,0,0,0,1
Sylvan Hills,2/28/18,18,2,28,2,0,0,1,0
Sylvan Hills,3/1/18,18,3,1,3,0,0,0,1
Sylvan Hills,3/2/18,18,3,2,4,0,0,1,0
Sylvan Hills,3/3/18,18,3,3,5,0,0,0,0
Sylvan Hills,3/4/18,18,3,4,6,0,0,0,0
Sylvan Hills,3/5/18,18,3,5,0,0,0,0,0
Sylvan Hills,3/6/18,18,3,6,1,0,0,0,0
Sylvan Hills,3/7/18,18,3,7,2,0,0,0,0
Sylvan Hills,3/8/18,18,3,8,3,0,0,1,0
Sylvan Hills,3/9/18,18,3,9,4,0,0,0,1
Sylvan Hills,3/10/18,18,3,10,5,0,0,0,0
Sylvan Hills,3/11/18,18,3,11,6,0,0,0,0
Sylvan Hills,3/12/18,18,3,12,0,0,0,0,0
Sylvan Hills,3/13/18,18,3,13,1,0,0,0,0
Sylvan Hills,3/14/18,18,3,14,2,0,0,0,0
Sylvan Hills,3/15/18,18,3,15,3,0,0,0,1
Sylvan Hills,3/16/18,18,3,16,4,0,1,0,1
Sylvan Hills,3/17/18,18,3,17,5,0,0,0,0
Sylvan Hills,3/18/18,18,3,18,6,0,0,0,1
Sylvan Hills,3/19/18,18,3,19,0,0,0,0,2
Sylvan Hills,3/20/18,18,3,20,1,0,0,0,0
Sylvan Hills,3/21/18,18,3,21,2,0,0,0,0
Sylvan Hills,3/22/18,18,3,22,3,0,0,0,0
Sylvan Hills,3/23/18,18,3,23,4,0,0,0,0
Sylvan Hills,3/24/18,18,3,24,5,0,0,0,0
Sylvan Hills,3/25/18,18,3,25,6,0,0,0,0
Sylvan Hills,3/26/18,18,3,26,0,0,0,0,0
Sylvan Hills,3/27/18,18,3,27,1,0,0,0,0
Sylvan Hills,3/28/18,18,3,28,2,0,1,0,0
Sylvan Hills,3/29/18,18,3,29,3,0,0,0,0
Sylvan Hills,3/30/18,18,3,30,4,0,1,0,0
Sylvan Hills,3/31/18,18,3,31,5,0,0,1,2
Sylvan Hills,4/1/18,18,4,1,6,0,0,0,1
Sylvan Hills,4/2/18,18,4,2,0,0,0,0,0
Sylvan Hills,4/3/18,18,4,3,1,0,0,0,0
Sylvan Hills,4/4/18,18,4,4,2,0,0,0,0
Sylvan Hills,4/5/18,18,4,5,3,0,0,1,0
Sylvan Hills,4/6/18,18,4,6,4,0,1,1,1
Sylvan Hills,4/7/18,18,4,7,5,0,0,1,2
Sylvan Hills,4/8/18,18,4,8,6,0,0,1,0
Sylvan Hills,4/9/18,18,4,9,0,0,0,0,0
Sylvan Hills,4/10/18,18,4,10,1,0,0,0,0
Sylvan Hills,4/11/18,18,4,11,2,0,0,0,0
Sylvan Hills,4/12/18,18,4,12,3,0,0,1,0
Sylvan Hills,4/13/18,18,4,13,4,0,0,0,1
Sylvan Hills,4/14/18,18,4,14,5,0,0,0,0
Sylvan Hills,4/15/18,18,4,15,6,0,0,0,1
Sylvan Hills,4/16/18,18,4,16,0,0,1,0,1
Sylvan Hills,4/17/18,18,4,17,1,0,0,1,1
Sylvan Hills,4/18/18,18,4,18,2,0,0,1,1
Sylvan Hills,4/19/18,18,4,19,3,0,1,0,1
Sylvan Hills,4/20/18,18,4,20,4,0,0,0,0
Sylvan Hills,4/21/18,18,4,21,5,0,0,0,0
Sylvan Hills,4/22/18,18,4,22,6,0,0,0,0
Sylvan Hills,4/23/18,18,4,23,0,0,0,0,1
Sylvan Hills,4/24/18,18,4,24,1,0,0,0,1
Sylvan Hills,4/25/18,18,4,25,2,0,0,1,1
Sylvan Hills,4/26/18,18,4,26,3,0,0,0,1
Sylvan Hills,4/27/18,18,4,27,4,0,0,0,0
Sylvan Hills,4/28/18,18,4,28,5,0,0,0,0
Sylvan Hills,4/29/18,18,4,29,6,0,0,0,0
Sylvan Hills,4/30/18,18,4,30,0,0,0,0,0
Sylvan Hills,5/1/18,18,5,1,1,0,0,0,0
Sylvan Hills,5/2/18,18,5,2,2,0,0,0,0
Sylvan Hills,5/3/18,18,5,3,3,0,0,0,1
Sylvan Hills,5/4/18,18,5,4,4,0,0,0,3
Sylvan Hills,5/5/18,18,5,5,5,0,0,0,1
Sylvan Hills,5/6/18,18,5,6,6,0,0,0,0
Sylvan Hills,5/7/18,18,5,7,0,0,0,1,0
Sylvan Hills,5/8/18,18,5,8,1,0,0,0,0
Sylvan Hills,5/9/18,18,5,9,2,0,0,0,1
Sylvan Hills,5/10/18,18,5,10,3,0,0,0,0
Sylvan Hills,5/11/18,18,5,11,4,0,1,0,1
Sylvan Hills,5/12/18,18,5,12,5,0,0,0,2
Sylvan Hills,5/13/18,18,5,13,6,0,1,2,0
Sylvan Hills,5/14/18,18,5,14,0,0,0,1,0
Sylvan Hills,5/15/18,18,5,15,1,0,1,0,1
Sylvan Hills,5/16/18,18,5,16,2,0,1,1,0
Sylvan Hills,5/17/18,18,5,17,3,0,0,0,0
Sylvan Hills,5/18/18,18,5,18,4,0,0,2,0
Sylvan Hills,5/19/18,18,5,19,5,0,0,2,0
Sylvan Hills,5/20/18,18,5,20,6,0,0,0,1
Sylvan Hills,5/21/18,18,5,21,0,0,0,1,1
Sylvan Hills,5/22/18,18,5,22,1,0,0,0,2
Sylvan Hills,5/23/18,18,5,23,2,0,0,1,0
Sylvan Hills,5/24/18,18,5,24,3,0,0,1,0
Sylvan Hills,5/25/18,18,5,25,4,0,0,0,0
Sylvan Hills,5/26/18,18,5,26,5,0,0,0,1
Sylvan Hills,5/27/18,18,5,27,6,0,0,0,1
Sylvan Hills,5/28/18,18,5,28,0,0,0,0,0
Sylvan Hills,5/29/18,18,5,29,1,0,0,0,0
Sylvan Hills,5/30/18,18,5,30,2,0,1,0,0
Sylvan Hills,5/31/18,18,5,31,3,0,1,0,0
Sylvan Hills,6/1/18,18,6,1,4,0,1,1,1
Sylvan Hills,6/2/18,18,6,2,5,0,0,1,0
Sylvan Hills,6/3/18,18,6,3,6,0,0,0,0
Sylvan Hills,6/4/18,18,6,4,0,0,0,0,0
Sylvan Hills,6/5/18,18,6,5,1,0,0,0,2
Sylvan Hills,6/6/18,18,6,6,2,0,0,1,3
Sylvan Hills,6/7/18,18,6,7,3,0,0,0,0
Sylvan Hills,6/8/18,18,6,8,4,0,0,0,1
Sylvan Hills,6/9/18,18,6,9,5,0,0,0,1
Sylvan Hills,6/10/18,18,6,10,6,0,0,0,0
Sylvan Hills,6/11/18,18,6,11,0,0,0,0,1
Sylvan Hills,6/12/18,18,6,12,1,0,0,1,0
Sylvan Hills,6/13/18,18,6,13,2,0,0,0,2
Sylvan Hills,6/14/18,18,6,14,3,0,0,0,1
Sylvan Hills,6/15/18,18,6,15,4,0,0,0,1
Sylvan Hills,6/16/18,18,6,16,5,0,0,1,0
Sylvan Hills,6/17/18,18,6,17,6,0,0,0,0
Sylvan Hills,6/18/18,18,6,18,0,0,0,0,0
Sylvan Hills,6/19/18,18,6,19,1,0,0,1,0
Sylvan Hills,6/20/18,18,6,20,2,0,0,1,1
Sylvan Hills,6/21/18,18,6,21,3,0,0,1,0
Sylvan Hills,6/22/18,18,6,22,4,0,1,0,2
Sylvan Hills,6/23/18,18,6,23,5,0,0,0,1
Sylvan Hills,6/24/18,18,6,24,6,0,1,0,0
Sylvan Hills,6/25/18,18,6,25,0,0,0,0,0
Sylvan Hills,6/26/18,18,6,26,1,0,0,0,0
Sylvan Hills,6/27/18,18,6,27,2,0,0,0,0
Sylvan Hills,6/28/18,18,6,28,3,0,0,0,0
Sylvan Hills,6/29/18,18,6,29,4,0,0,0,0
Sylvan Hills,6/30/18,18,6,30,5,0,1,0,1
