Date,Year,Month,Day of Month,Day of Week,Category 1,Category 2,Category 3,Category 4
2009-01-01,2009,1,1,3,0,9,20,21
2009-01-02,2009,1,2,4,0,7,25,40
2009-01-03,2009,1,3,5,1,8,16,27
2009-01-04,2009,1,4,6,0,11,17,23
2009-01-05,2009,1,5,0,0,5,27,40
2009-01-06,2009,1,6,1,0,4,19,33
2009-01-07,2009,1,7,2,0,6,20,26
2009-01-08,2009,1,8,3,0,2,27,24
2009-01-09,2009,1,9,4,0,7,28,31
2009-01-10,2009,1,10,5,1,10,17,26
2009-01-11,2009,1,11,6,0,5,17,14
2009-01-12,2009,1,12,0,0,3,19,19
2009-01-13,2009,1,13,1,0,5,27,29
2009-01-14,2009,1,14,2,1,7,17,20
2009-01-15,2009,1,15,3,0,4,18,24
2009-01-16,2009,1,16,4,0,5,19,27
2009-01-17,2009,1,17,5,0,2,15,34
2009-01-18,2009,1,18,6,0,13,11,28
2009-01-19,2009,1,19,0,0,2,17,24
2009-01-20,2009,1,20,1,0,7,17,21
2009-01-21,2009,1,21,2,0,3,16,25
2009-01-22,2009,1,22,3,0,6,18,34
2009-01-23,2009,1,23,4,0,11,29,26
2009-01-24,2009,1,24,5,1,5,10,32
2009-01-25,2009,1,25,6,0,8,12,19
2009-01-26,2009,1,26,0,0,11,14,35
2009-01-27,2009,1,27,1,0,6,22,29
2009-01-28,2009,1,28,2,0,6,17,28
2009-01-29,2009,1,29,3,0,8,17,21
2009-01-30,2009,1,30,4,2,5,30,35
2009-01-31,2009,1,31,5,0,8,13,29
2009-02-01,2009,2,1,6,1,11,12,35
2009-02-02,2009,2,2,0,1,3,18,26
2009-02-03,2009,2,3,1,0,5,17,32
2009-02-04,2009,2,4,2,0,4,21,17
2009-02-05,2009,2,5,3,0,5,14,33
2009-02-06,2009,2,6,4,0,8,17,27
2009-02-07,2009,2,7,5,1,9,12,20
2009-02-08,2009,2,8,6,0,8,8,25
2009-02-09,2009,2,9,0,0,6,19,29
2009-02-10,2009,2,10,1,0,8,14,21
2009-02-11,2009,2,11,2,0,9,20,24
2009-02-12,2009,2,12,3,0,4,15,19
2009-02-13,2009,2,13,4,1,8,22,31
2009-02-14,2009,2,14,5,0,7,4,24
2009-02-15,2009,2,15,6,1,6,8,19
2009-02-16,2009,2,16,0,0,2,14,23
2009-02-17,2009,2,17,1,0,5,10,29
2009-02-18,2009,2,18,2,2,2,13,33
2009-02-19,2009,2,19,3,0,2,13,19
2009-02-20,2009,2,20,4,0,7,21,36
2009-02-21,2009,2,21,5,1,9,17,15
2009-02-22,2009,2,22,6,1,12,10,25
2009-02-23,2009,2,23,0,0,5,8,15
2009-02-24,2009,2,24,1,0,8,14,32
2009-02-25,2009,2,25,2,0,11,15,25
2009-02-26,2009,2,26,3,0,5,11,32
2009-02-27,2009,2,27,4,0,7,15,21
2009-02-28,2009,2,28,5,0,7,7,24
2009-03-01,2009,3,1,6,0,4,13,17
2009-03-02,2009,3,2,0,1,7,9,27
2009-03-03,2009,3,3,1,0,7,12,19
2009-03-04,2009,3,4,2,0,4,12,20
2009-03-05,2009,3,5,3,0,2,19,30
2009-03-06,2009,3,6,4,0,10,11,30
2009-03-07,2009,3,7,5,1,5,22,24
2009-03-08,2009,3,8,6,0,13,9,26
2009-03-09,2009,3,9,0,0,6,15,21
2009-03-10,2009,3,10,1,0,4,12,24
2009-03-11,2009,3,11,2,0,10,9,13
2009-03-12,2009,3,12,3,0,9,22,21
2009-03-13,2009,3,13,4,0,4,25,38
2009-03-14,2009,3,14,5,0,5,8,21
2009-03-15,2009,3,15,6,0,5,9,20
2009-03-16,2009,3,16,0,0,9,14,25
2009-03-17,2009,3,17,1,1,7,19,28
2009-03-18,2009,3,18,2,0,6,14,21
2009-03-19,2009,3,19,3,0,8,21,17
2009-03-20,2009,3,20,4,0,8,23,29
2009-03-21,2009,3,21,5,0,12,14,29
2009-03-22,2009,3,22,6,2,11,18,20
2009-03-23,2009,3,23,0,0,5,19,11
2009-03-24,2009,3,24,1,0,14,21,27
2009-03-25,2009,3,25,2,0,6,25,25
2009-03-26,2009,3,26,3,0,5,22,16
2009-03-27,2009,3,27,4,0,4,23,31
2009-03-28,2009,3,28,5,0,2,13,36
2009-03-29,2009,3,29,6,0,8,17,21
2009-03-30,2009,3,30,0,0,7,11,27
2009-03-31,2009,3,31,1,0,7,19,22
2009-04-01,2009,4,1,2,0,5,13,38
2009-04-02,2009,4,2,3,0,9,13,33
2009-04-03,2009,4,3,4,0,8,21,28
2009-04-04,2009,4,4,5,0,13,11,31
2009-04-05,2009,4,5,6,1,3,19,17
2009-04-06,2009,4,6,0,0,3,18,13
2009-04-07,2009,4,7,1,0,7,20,19
2009-04-08,2009,4,8,2,0,7,20,17
2009-04-09,2009,4,9,3,1,7,17,14
2009-04-10,2009,4,10,4,1,6,25,24
2009-04-11,2009,4,11,5,0,13,6,18
2009-04-12,2009,4,12,6,0,11,8,16
2009-04-13,2009,4,13,0,1,5,17,18
2009-04-14,2009,4,14,1,0,8,17,21
2009-04-15,2009,4,15,2,0,2,19,17
2009-04-16,2009,4,16,3,0,7,16,26
2009-04-17,2009,4,17,4,0,5,25,31
2009-04-18,2009,4,18,5,0,9,26,30
2009-04-19,2009,4,19,6,0,9,11,31
2009-04-20,2009,4,20,0,0,7,31,22
2009-04-21,2009,4,21,1,0,7,14,33
2009-04-22,2009,4,22,2,0,4,20,24
2009-04-23,2009,4,23,3,0,5,18,16
2009-04-24,2009,4,24,4,0,6,20,21
2009-04-25,2009,4,25,5,0,11,9,35
2009-04-26,2009,4,26,6,0,6,6,18
2009-04-27,2009,4,27,0,0,6,18,21
2009-04-28,2009,4,28,1,0,4,27,29
2009-04-29,2009,4,29,2,0,6,27,33
2009-04-30,2009,4,30,3,0,10,18,28
2009-05-01,2009,5,1,4,0,7,18,35
2009-05-02,2009,5,2,5,0,5,9,30
2009-05-03,2009,5,3,6,0,1,4,25
2009-05-04,2009,5,4,0,0,8,13,30
2009-05-05,2009,5,5,1,0,11,16,29
2009-05-06,2009,5,6,2,1,7,19,19
2009-05-07,2009,5,7,3,0,3,17,37
2009-05-08,2009,5,8,4,0,10,20,25
2009-05-09,2009,5,9,5,2,5,20,32
2009-05-10,2009,5,10,6,0,11,17,29
2009-05-11,2009,5,11,0,1,2,24,30
2009-05-12,2009,5,12,1,0,7,20,30
2009-05-13,2009,5,13,2,0,3,16,25
2009-05-14,2009,5,14,3,0,9,21,28
2009-05-15,2009,5,15,4,0,5,19,30
2009-05-16,2009,5,16,5,0,7,6,28
2009-05-17,2009,5,17,6,0,5,15,25
2009-05-18,2009,5,18,0,0,5,23,24
2009-05-19,2009,5,19,1,0,6,15,26
2009-05-20,2009,5,20,2,0,7,28,35
2009-05-21,2009,5,21,3,0,7,20,27
2009-05-22,2009,5,22,4,0,8,25,53
2009-05-23,2009,5,23,5,0,7,13,38
2009-05-24,2009,5,24,6,0,8,12,21
2009-05-25,2009,5,25,0,0,12,17,23
2009-05-26,2009,5,26,1,2,6,18,25
2009-05-27,2009,5,27,2,0,4,19,28
2009-05-28,2009,5,28,3,1,5,27,26
