Occur Date,Occur Time,Beat,Location,UCR #,UCR Literal,Neighborhood,NPU,Longitude,Latitude,Shift Occurrence,Day of Week,Crime Category
1/1/19,20,511,50 UPPER ALABAMA ST SW,620,LARCENY-NON VEHICLE,Downtown,M,-84.38964,33.751940000000005,Morning,1,4
1/1/19,120,511,20 BROAD ST,620,LARCENY-NON VEHICLE,Downtown,M,-84.39208,33.75312,Morning,1,4
1/1/19,1740,411,3000 CONTINENTAL COLONY PKWY SW,620,LARCENY-NON VEHICLE,Greenbriar,R,-84.4937,33.68077,Evening,1,4
1/1/19,400,512,253 TRINITY AVE SW,640,LARCENY-FROM VEHICLE,Downtown,M,-84.39615,33.750820000000004,Morning,1,4
1/1/19,920,205,2020 HOWELL MILL RD NW @PUBLIX - HOWELL,640,LARCENY-FROM VEHICLE,Wildwood (NPU-C),C,-84.41346999999999,33.81022,Day,1,4
1/1/19,137,211,2399 PARKLAND DR NE,640,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,B,-84.36480999999999,33.8201,Morning,1,4
1/1/19,130,605,641 ROSALIA ST SE,640,LARCENY-FROM VEHICLE,Grant Park,W,-84.36653000000001,33.73867,Morning,1,4
1/1/19,1004,306,1959 METROPOLITAN PKWY SW,640,LARCENY-FROM VEHICLE,Sylvan Hills,X,-84.41018000000001,33.7008,Day,1,4
1/1/19,100,301,746 LEXINGTON AVE SW,640,LARCENY-FROM VEHICLE,Adair Park,V,-84.41221999999999,33.72443,Morning,1,4
1/1/19,1100,303,558 CENTRAL AVE SW,640,LARCENY-FROM VEHICLE,Mechanicsville,V,-84.39345,33.739509999999996,Day,1,4
1/1/19,1430,602,1031 PONCE DE LEON AVE NE @MAJESTIC DINER,640,LARCENY-FROM VEHICLE,Poncey-Highland,N,-84.35395,33.77373,Day,1,4
1/1/19,1930,509,207 PEACHTREE CENTER AVE NE,640,LARCENY-FROM VEHICLE,Downtown,M,-84.38554,33.7602,Evening,1,4
1/1/19,1809,507,574 MARIETTA ST NW,640,LARCENY-FROM VEHICLE,Downtown,M,-84.39868,33.76897,Evening,1,4
1/1/19,2200,207,1198 HOWELL MILL RD NW,640,LARCENY-FROM VEHICLE,Blandtown,D,-84.41185,33.78703,Evening,1,4
1/1/19,2140,504,935 MARIETTA ST NW,640,LARCENY-FROM VEHICLE,Marietta Street Artery,E,-84.40849,33.77795,Evening,1,4
1/1/19,100,401,1384 LUCILE AVE SW,640,LARCENY-FROM VEHICLE,Westview,T,-84.43313,33.742090000000005,Morning,1,4
1/1/19,415,607,1362 BOULEVARD SE,630,LARCENY-NON VEHICLE,Benteen Park,W,-84.36818000000001,33.71744,Morning,1,4
1/1/19,1400,210,3393 PEACHTREE RD NE @LENOX MALL,630,LARCENY-NON VEHICLE,Lenox,B,-84.36211999999999,33.846759999999996,Day,1,4
1/1/19,1528,210,3393 PEACHTREE RD NE @LENOX MALL,630,LARCENY-NON VEHICLE,Lenox,B,-84.36211999999999,33.846759999999996,Day,1,4
1/1/19,1615,210,3393 PEACHTREE RD NE @LENOX MALL,630,LARCENY-NON VEHICLE,Lenox,B,-84.36211999999999,33.846759999999996,Evening,1,4
1/1/19,2050,301,902 DILL AVE SW,630,LARCENY-NON VEHICLE,Capitol View,X,-84.41768,33.71803,Evening,1,4
1/1/19,1700,609,1225 CAROLINE ST NE,660,LARCENY-NON VEHICLE,Edgewood,O,-84.34813,33.75605,Evening,1,4
1/1/19,1530,310,680 MCWILLIAMS RD SE @TULL WATER PARK,317,ROBBERY-PEDESTRIAN,Lakewood,Z,-84.36607,33.688829999999996,Day,1,2
1/1/19,200,211,2581 PIEDMONT RD NE @LINDBERGH PLAZA,710,AUTO THEFT,Lindbergh/Morosgo,B,-84.36535,33.82561,Morning,1,3
1/1/19,330,510,17 JESSE HILL JR DR NE,710,AUTO THEFT,Downtown,M,-84.38025999999999,33.75445,Morning,1,3
1/1/19,1845,402,1182 MERRILL AVE SW,710,AUTO THEFT,Oakland City,S,-84.42654,33.7284,Evening,1,3
1/1/19,100,512,156 FORSYTH ST SW,710,AUTO THEFT,Downtown,M,-84.39515,33.750170000000004,Morning,1,3
1/1/19,1050,501,201 16TH ST NW,345,ROBBERY-RESIDENCE,Atlantic Station,E,-84.39372,33.79025,Day,1,2
1/1/19,545,102,144 MAPLE ST NW,311,ROBBERY-PEDESTRIAN,Vine City,L,-84.40561,33.75854,Morning,1,2
1/1/19,1,102,135 GRIFFIN ST NW,410,AGG ASSAULT,Vine City,L,-84.41115,33.758390000000006,Morning,1,2
1/1/19,255,102,104 GRIFFIN ST NW,410,AGG ASSAULT,Vine City,L,-84.41174000000001,33.757509999999996,Morning,1,2
1/1/19,450,303,599 WHITEHALL ST SW,410,AGG ASSAULT,Pittsburgh,V,-84.40756,33.74277,Morning,1,2
1/1/19,1732,112,3292 AMHURST DR NW,410,AGG ASSAULT,Collier Heights,I,-84.49531999999999,33.77326,Evening,1,2
1/1/19,300,506,728 MONROE DR NE,420,AGG ASSAULT,Midtown,E,-84.37122,33.77438,Morning,1,2
1/1/19,2315,212,2448 CHESHIRE BRIDGE RD NE,313,ROBBERY-COMMERCIAL,Lindridge/Martin Manor,F,-84.35200999999999,33.821690000000004,Evening,1,2
1/1/19,2200,404,1528 RALPH D ABERNATHY BLVD SW,512,BURGLARY-NONRES,Westview,T,-84.4376,33.74302,Evening,1,3
1/1/19,1500,607,1940 FISHER RD SE,521,BURGLARY-RESIDENCE,Custer/McDonough/Guice,W,-84.35849,33.709790000000005,Day,1,3
1/1/19,1700,102,285 ANDREW J HAIRSTON PL NW,521,BURGLARY-RESIDENCE,Vine City,L,-84.41368,33.76239,Evening,1,3
1/1/19,2040,106,860 MARIETTA BLVD NW,522,BURGLARY-NONRES,Knight Park/Howell Station,K,-84.42798,33.77887,Evening,1,3
1/2/19,100,207,1784 PEACHTREE ST NW,522,BURGLARY-NONRES,Ardmore,E,-84.39350999999999,33.803340000000006,Morning,2,3
1/2/19,343,204,1789 HOWELL MILL RD NW,512,BURGLARY-NONRES,Berkeley Park,D,-84.41372,33.80343,Morning,2,3
1/2/19,440,202,3535 NORTHSIDE PKWY NW,512,BURGLARY-NONRES,Randall Mill,A,-84.42902,33.85087,Morning,2,3
1/2/19,1300,512,234 MEMORIAL DR SW,430,AGG ASSAULT,Downtown,M,-84.39536,33.7465,Day,2,2
1/2/19,1200,207,1695 NORTHSIDE DR NW,410,AGG ASSAULT,Loring Heights,E,-84.40742,33.80107,Day,2,2
1/2/19,2230,211,2161 PIEDMONT RD NE,410,AGG ASSAULT,Lindridge/Martin Manor,F,-84.366,33.81558,Evening,2,2
1/2/19,17,611,2898 GLENWOOD AVE SE,315,ROBBERY-RESIDENCE,East Lake,O,-84.29214,33.73918,Morning,2,2
1/2/19,1200,605,487 GRANT ST SE,311,ROBBERY-PEDESTRIAN,Grant Park,W,-84.3766,33.74135,Day,2,2
1/2/19,1600,110,750 FRANCIS PL NW,341,ROBBERY-PEDESTRIAN,Grove Park,J,-84.43798000000001,33.77495,Evening,2,2
1/2/19,25,113,3181 DONALD LEE HOLLOWELL PKWY NW @PETRO TRUCK STOP,710,AUTO THEFT,Brookview Heights,G,-84.49013000000001,33.78652,Morning,2,3
1/2/19,412,611,2400 FOREST LAKES AVE SE,710,AUTO THEFT,The Villages at East Lake,O,-84.31064,33.74514,Morning,2,3
1/1/19,2000,304,1053 LINAM ST SE,710,AUTO THEFT,Peoplestown,V,-84.38625,33.72579,Evening,1,3
1/1/19,1500,211,2591 PIEDMONT RD NE,710,AUTO THEFT,Lindbergh/Morosgo,B,-84.36684,33.824940000000005,Day,1,3
1/1/19,2200,404,1761 S ALVARADO TER SW,710,AUTO THEFT,Cascade Avenue/Road,S,-84.44582,33.72984,Evening,1,3
1/1/19,0,303,599 WHITEHALL ST SW,710,AUTO THEFT,Pittsburgh,V,-84.40756,33.74277,Morning,1,3
1/2/19,1345,401,711 LEE ST SW,710,AUTO THEFT,West End,T,-84.41421,33.735279999999996,Day,2,3
1/2/19,1826,403,1219 LOCKWOOD DR SW,710,AUTO THEFT,Venetian Hills,S,-84.43905,33.721940000000004,Evening,2,3
1/2/19,1915,401,535 LEE ST SW,710,AUTO THEFT,West End,T,-84.41435,33.74042,Evening,2,3
1/2/19,1129,508,300 PEACHTREE ST NE,322,ROBBERY-COMMERCIAL,Downtown,M,-84.38714,33.76293,Day,2,2
1/1/19,1000,509,265 PEACHTREE ST NE ,690,LARCENY-NON VEHICLE,Downtown,M,-84.38672,33.761520000000004,Day,1,4
1/2/19,1044,305,1378 PARK AVE SE,690,LARCENY-NON VEHICLE,Chosewood Park,Y,-84.3699,33.71691,Day,2,4
1/1/19,100,402,1436 COPELAND AVE SW,690,LARCENY-NON VEHICLE,West End,T,-84.43462,33.735820000000004,Morning,1,4
1/2/19,1800,109,635 S GRAND AVE NW,690,LARCENY-NON VEHICLE,Center Hill,J,-84.46243,33.77247,Evening,2,4
1/2/19,2253,306,2065 METROPOLITAN PKWY SW,690,LARCENY-NON VEHICLE,Sylvan Hills,X,-84.40849,33.69961,Evening,2,4
1/1/19,1200,211,658 LINDBERGH DR NE,670,LARCENY-NON VEHICLE,Lindbergh/Morosgo,B,-84.36586,33.82206,Day,1,4
1/2/19,1430,503,850 PIEDMONT AVE,670,LARCENY-NON VEHICLE,Downtown,M,-84.38918000000001,33.760040000000004,Day,2,4
1/2/19,2218,605,364 HILL ST SE,670,LARCENY-NON VEHICLE,Grant Park,W,-84.37895,33.74475,Evening,2,4
1/2/19,1100,102,835 MARTIN L KING JR DR NW,630,LARCENY-NON VEHICLE,Vine City,L,-84.41457,33.75504,Day,2,4
1/2/19,1120,102,835 MARTIN LUTHER KING DR SW,630,LARCENY-NON VEHICLE,Vine City,L,-84.41457,33.75504,Day,2,4
1/2/19,1137,509,610 SPRING ST NW,630,LARCENY-NON VEHICLE,Downtown,M,-84.38895,33.77101,Day,2,4
1/2/19,1820,610,225 CLIFTON ST SE,630,LARCENY-NON VEHICLE,Kirkwood,O,-84.33202,33.7477,Evening,2,4
1/1/19,1214,205,214 COLONIAL HOMES DR NW,640,LARCENY-FROM VEHICLE,Colonial Homes,C,-84.39459000000001,33.81392,Day,1,4
1/1/19,1800,605,275 MEMORIAL DR SE,640,LARCENY-FROM VEHICLE,Grant Park,W,-84.37856,33.746759999999995,Evening,1,4
1/1/19,2030,504,455 CENTENNIAL OLYMPIC P DR NW,640,LARCENY-FROM VEHICLE,Downtown,M,-84.39178000000001,33.76697,Evening,1,4
1/1/19,2300,208,3398 PIEDMONT RD NE,640,LARCENY-FROM VEHICLE,Buckhead Forest,B,-84.37385,33.847120000000004,Evening,1,4
1/1/19,900,210,3212 TOWERVIEW DR NE,640,LARCENY-FROM VEHICLE,Pine Hills,B,-84.35355,33.841429999999995,Day,1,4
1/1/19,2200,211,517 MAIN ST NE,640,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,B,-84.37031,33.8225,Evening,1,4
1/2/19,200,602,433 N HIGHLAND AVE NE,640,LARCENY-FROM VEHICLE,Inman Park,N,-84.35403000000001,33.76595,Morning,2,4
1/2/19,0,604,120 HILLIARD ST NE,640,LARCENY-FROM VEHICLE,Sweet Auburn,M,-84.37668000000001,33.75744,Morning,2,4
1/2/19,1340,209,3861 ROSWELL RD NE,640,LARCENY-FROM VEHICLE,North Buckhead,B,-84.37979,33.8596,Day,2,4
1/2/19,1345,504,826 MARIETTA ST NW,640,LARCENY-FROM VEHICLE,Marietta Street Artery,E,-84.4067,33.774770000000004,Day,2,4
1/2/19,1350,206,575 PHARR RD NE,640,LARCENY-FROM VEHICLE,Garden Hills,B,-84.36909,33.83647,Day,2,4
1/2/19,1420,508,275 MARIETTA ST NW,640,LARCENY-FROM VEHICLE,Downtown,M,-84.39553000000001,33.76099,Day,2,4
1/1/19,1215,601,891 ROSEDALE RD NE,640,LARCENY-FROM VEHICLE,Virginia Highland,F,-84.34806999999999,33.77882,Day,1,4
1/2/19,1518,611,2266 SUTTON ST SE,640,LARCENY-FROM VEHICLE,Kirkwood,O,-84.31328,33.7484,Day,2,4
1/2/19,1430,411,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,640,LARCENY-FROM VEHICLE,Greenbriar,R,-84.49328,33.68845,Day,2,4
1/1/19,2300,210,3518 ROCKHAVEN CIR NE,640,LARCENY-FROM VEHICLE,Pine Hills,B,-84.35236,33.8476,Evening,1,4
1/2/19,0,508,17 BAKER ST NW,640,LARCENY-FROM VEHICLE,Downtown,M,-84.38819000000001,33.76235,Morning,2,4
1/2/19,1930,211,3097 PIEDMONT RD NE,640,LARCENY-FROM VEHICLE,Peachtree Park,B,-84.36887,33.840340000000005,Evening,2,4
1/2/19,2100,303,634 WHITEHALL ST SW,640,LARCENY-FROM VEHICLE,Adair Park,V,-84.40844,33.74179,Evening,2,4
1/2/19,2100,208,3365 PIEDMONT RD NE,640,LARCENY-FROM VEHICLE,North Buckhead,B,-84.37284,33.84687,Evening,2,4
1/2/19,2200,211,3085 PIEDMONT RD NE,640,LARCENY-FROM VEHICLE,Peachtree Park,B,-84.36899,33.83988,Evening,2,4
1/2/19,2033,505,794 JUNIPER ST NE,640,LARCENY-FROM VEHICLE,Midtown,E,-84.38319,33.7762,Evening,2,4
1/1/19,1240,207,1845 PEACHTREE RD NE,532,BURGLARY-NONRES,Brookwood Hills,E,-84.39373,33.80538,Day,1,3
1/2/19,2032,508,218 PEACHTREE ST NW,630,LARCENY-NON VEHICLE,Downtown,M,-84.38768,33.76028,Evening,2,4
1/2/19,2149,402,590 CASCADE AVE SW @KROGER - CASCADE,630,LARCENY-NON VEHICLE,West End,T,-84.43314000000001,33.7375,Evening,2,4
1/3/19,40,409,2959 CAMPBELLTON RD SW,630,LARCENY-NON VEHICLE,Southwest,R,-84.48504,33.697309999999995,Morning,3,4
1/3/19,1500,210,3393 PEACHTREE RD NE @LENOX MALL,630,LARCENY-NON VEHICLE,Lenox,B,-84.36211999999999,33.846759999999996,Day,3,4
1/3/19,1455,609,1275 CAROLINE ST NE,630,LARCENY-NON VEHICLE,Edgewood,O,-84.34619,33.75674,Day,3,4
1/3/19,2036,210,3393 PEACHTREE RD NE @LENOX MALL,630,LARCENY-NON VEHICLE,Lenox,B,-84.36211999999999,33.846759999999996,Evening,3,4
1/2/19,2200,211,800 SIDNEY MARCUS BLVD NE,640,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,B,-84.36131,33.82674,Evening,2,4
1/2/19,2000,206,3092 PIEDMONT RD NE,640,LARCENY-FROM VEHICLE,Buckhead Village,B,-84.37007,33.8399,Evening,2,4
1/3/19,1000,508,186 CENTENNIAL OLYMPIC P DR NW,640,LARCENY-FROM VEHICLE,Downtown,M,-84.39217,33.75991,Day,3,4
1/2/19,2145,101,111 OZONE ST SW,640,LARCENY-FROM VEHICLE,Atlanta University Center,T,-84.41677,33.75156,Evening,2,4
1/3/19,1347,510,81 PEACHTREE CENTER AVE NE,640,LARCENY-FROM VEHICLE,Downtown,M,-84.38600000000001,33.75665,Day,3,4
1/3/19,1420,309,757 CLEVELAND AVE SW,640,LARCENY-FROM VEHICLE,Perkerson,X,-84.41417,33.682320000000004,Day,3,4
1/3/19,1500,213,1016 WILDWOOD RD NE,640,LARCENY-FROM VEHICLE,Morningside/Lenox Park,F,-84.35396999999999,33.80385,Day,3,4
