Neighborhood,Crime Score
Downtown,1951.1054283536478
Greenbriar,2015.3334355536704
Wildwood (NPU-C),2362.164674433794
Lindbergh/Morosgo,2102.0412452737014
Grant Park,2005.6992344736673
Sylvan Hills,2285.0910657937666
Adair Park,1751.998606033577
Mechanicsville,2124.5210477937094
Poncey-Highland,2224.0744589537453
Blandtown,1825.8608143136032
Marietta Street Artery,2118.098247073707
Westview,2349.3190729937896
Benteen Park,1813.0152128735986
Lenox,2095.618444553699
Capitol View,1886.8774211536252
Edgewood,1970.3738305136546
Lakewood,2082.7728431136948
Oakland City,2159.8464517537222
Atlantic Station,1793.746810713592
Vine City,2310.782268673776
Pittsburgh,2211.228857513741
Collier Heights,1928.62562583364
Midtown,2130.9438485137116
Lindridge/Martin Manor,2105.2526456337027
Custer/McDonough/Guice,1944.6826276336456
Knight Park/Howell Station,2076.3500423936925
Ardmore,1774.4784085535848
Berkeley Park,1816.2266132335997
Randall Mill,2227.285859313746
Loring Heights,2108.4640459937036
East Lake,1967.1624301536538
Grove Park,2018.5448359136717
Brookview Heights,1848.340616833611
The Villages at East Lake,2294.72526687377
Peoplestown,2195.1718557137347
Cascade Avenue/Road,1899.7230225936296
West End,2323.627870113781
Venetian Hills,2307.5708683137746
Chosewood Park,1925.4142254736387
Center Hill,1912.5686240336345
Kirkwood,2073.138642033691
Colonial Homes,1938.2598269136433
Buckhead Forest,1861.1862182736159
Pine Hills,2208.017457153739
Inman Park,2057.0816402336854
Sweet Auburn,2281.8796654337657
North Buckhead,2147.000850313718
Garden Hills,1996.0650333936637
Virginia Highland,2313.993669033777
Peachtree Park,2188.7490549937324
Brookwood Hills,1854.7634175536134
Southwest,2269.0340639937613
Buckhead Village,1867.609018993618
Atlanta University Center,1790.5354103535908
Perkerson,2198.383256073736
Morningside/Lenox Park,2137.3666492337143
Reynoldstown,2233.7086600337484
Home Park,2047.4474391536821
Piedmont Heights,2204.806056793738
East Chastain Park,1963.9510297936527
Carey Park,1893.3002218736272
Whittier Mill Village,2358.953274073793
Castleberry Hill,1906.145823313632
South Atlanta,2259.3998629137577
Thomasville Heights,2297.936667233772
Capitol View Manor,1890.088821513626
Hammond Park,2021.756236273673
Edmund Park,1973.5852308736557
Old Fourth Ward,2163.057852113723
Mozley Park,2140.578049593715
English Avenue,1976.796631233657
Bolton,1829.0722146736045
Summerhill,2275.4568647137635
Norwood Manor,2150.2122506737187
Ansley Park,1768.0556078335826
Ormewood Park,2169.480652833726
South Tuxedo Park,2265.82266363376
West Highlands,2326.8392704737817
Peachtree Heights West,2182.3262542737302
Harland Terrace,2028.1790369936753
Bush Mountain,1870.8204193536194
Riverside,2243.3428611137524
Bankhead/Bolton,1806.5924121535963
Dixie Hills,1947.8940279936464
Bankhead,1803.3810117935952
West Paces Ferry/Northside,2336.473471553785
Cascade Heights,1902.934422953631
East Atlanta,1960.7396294336513
Harris Chiles,2031.3904373536766
Polar Rock,2217.6516582337426
Adamsville,1758.421406753579
Adams Park,1755.2100063935782
Washington Park,2317.205069393778
Hunter Hills,2053.8702398736846
Florida Heights,1986.4308323136602
Underwood Hills,2304.3594679537737
Scotts Crossing,2252.977062193755
Paces,2172.6920531937267
The Villages at Castleberry Hill,2291.513866513769
West Lake,2330.0506708337825
Lincoln Homes,2098.8298449137005
Peachtree Hills,2185.537654633731
Lakewood Heights,2085.9842434736956
Peyton Forest,2201.594656433737
Browns Mill Park,1857.9748179136145
Glenrose Heights,2002.4878341136662
Carver Hills,1896.5116222336283
The Villages at Carver,2288.3024661537684
English Park,1980.0080315936582
Beecher Hills,1809.8038125135977
Westhaven,2339.684871913786
Ashview Heights,1780.901209273587
